,animal,s,stimulus,index,value
456,12,1,squeakCTRL,6,8781
457,12,1,squeakCTRL,7,8995
458,12,1,squeakCTRL,8,9210
459,12,1,squeakCTRL,9,9423
460,12,1,laserHI,0,3117
461,12,1,laserHI,1,3618
462,12,1,laserHI,2,4000
463,12,1,laserHI,3,4142
464,12,1,laserHI,4,4561
465,12,1,laserHI,5,5163
466,12,1,laserHI,6,5555
467,12,1,laserHI,7,6114
468,12,1,laserHI,8,6637
469,12,1,laserHI,9,6913
470,12,1,laserLO,0,3256
471,12,1,laserLO,1,3390
472,12,1,laserLO,2,3766
473,12,1,laserLO,3,4396
474,12,1,laserLO,4,4811
475,12,1,laserLO,5,5041
476,12,1,laserLO,6,5327
477,12,1,laserLO,7,5925
478,12,1,laserLO,8,6411
479,12,1,laserLO,9,7184
480,12,1,laserCTRL,0,2998
481,12,1,laserCTRL,1,3500
482,12,1,laserCTRL,2,3874
483,12,1,laserCTRL,3,4264
484,12,1,laserCTRL,4,4681
485,12,1,laserCTRL,5,4923
486,12,1,laserCTRL,6,5439
487,12,1,laserCTRL,7,5674
488,12,1,laserCTRL,8,6236
489,12,1,laserCTRL,9,7293
490,12,2,shock,0,464
491,12,2,shock,1,688
492,12,2,shock,2,912
493,12,2,shock,3,1136
494,12,2,shock,4,2731
495,12,2,shock,5,1472
496,12,2,shock,6,1808
497,12,2,shock,7,2032
498,12,2,shock,8,2256
499,12,2,shock,9,2369
500,12,2,shockCTRL,0,352
501,12,2,shockCTRL,1,576
502,12,2,shockCTRL,2,800
503,12,2,shockCTRL,3,1024
504,12,2,shockCTRL,4,1360
505,12,2,shockCTRL,5,1584
506,12,2,shockCTRL,6,1696
507,12,2,shockCTRL,7,1920
508,12,2,shockCTRL,8,2144
509,12,2,shockCTRL,9,2481
510,12,2,squeak,0,7589
511,12,2,squeak,1,7803
512,12,2,squeak,2,8017
513,12,2,squeak,3,8231
514,12,2,squeak,4,8338
515,12,2,squeak,5,8659
516,12,2,squeak,6,8873
517,12,2,squeak,7,9086
518,12,2,squeak,8,9299
519,12,2,squeak,9,9512
520,12,2,squeakCTRL,0,7483
521,12,2,squeakCTRL,1,7696
522,12,2,squeakCTRL,2,7910
523,12,2,squeakCTRL,3,8124
524,12,2,squeakCTRL,4,8445
525,12,2,squeakCTRL,5,8552
526,12,2,squeakCTRL,6,8766
527,12,2,squeakCTRL,7,8979
528,12,2,squeakCTRL,8,9193
529,12,2,squeakCTRL,9,9405
530,12,2,laserHI,0,3111
531,12,2,laserHI,1,3609
532,12,2,laserHI,2,3991
533,12,2,laserHI,3,4132
534,12,2,laserHI,4,4550
535,12,2,laserHI,5,5152
536,12,2,laserHI,6,5545
537,12,2,laserHI,7,6103
538,12,2,laserHI,8,6625
539,12,2,laserHI,9,6901
540,12,2,laserLO,0,3249
541,12,2,laserLO,1,3382
542,12,2,laserLO,2,3757
543,12,2,laserLO,3,4385
544,12,2,laserLO,4,4801
545,12,2,laserLO,5,5031
546,12,2,laserLO,6,5317
547,12,2,laserLO,7,5914
548,12,2,laserLO,8,6400
549,12,2,laserLO,9,7172
550,12,2,laserCTRL,0,2993
551,12,2,laserCTRL,1,3491
552,12,2,laserCTRL,2,3866
553,12,2,laserCTRL,3,4254
554,12,2,laserCTRL,4,4670
555,12,2,laserCTRL,5,4913
556,12,2,laserCTRL,6,5429
557,12,2,laserCTRL,7,5664
558,12,2,laserCTRL,8,6225
559,12,2,laserCTRL,9,7280
560,12,3,shock,0,466
561,12,3,shock,1,689
562,12,3,shock,2,913
563,12,3,shock,3,1137
564,12,3,shock,4,2731
565,12,3,shock,5,1472
566,12,3,shock,6,1807
567,12,3,shock,7,2031
568,12,3,shock,8,2255
569,12,3,shock,9,2368
570,12,3,shockCTRL,0,353
571,12,3,shockCTRL,1,577
572,12,3,shockCTRL,2,801
573,12,3,shockCTRL,3,1025
574,12,3,shockCTRL,4,1360
575,12,3,shockCTRL,5,1585
576,12,3,shockCTRL,6,1696
577,12,3,shockCTRL,7,1920
578,12,3,shockCTRL,8,2143
579,12,3,shockCTRL,9,2479
580,12,3,squeak,0,7589
581,12,3,squeak,1,7802
582,12,3,squeak,2,8015
583,12,3,squeak,3,8227
584,12,3,squeak,4,8333
585,12,3,squeak,5,8653
586,12,3,squeak,6,8866
587,12,3,squeak,7,9079
588,12,3,squeak,8,9294
589,12,3,squeak,9,9507
590,12,3,squeakCTRL,0,7482
591,12,3,squeakCTRL,1,7696
592,12,3,squeakCTRL,2,7908
593,12,3,squeakCTRL,3,8121
594,12,3,squeakCTRL,4,8439
595,12,3,squeakCTRL,5,8546
596,12,3,squeakCTRL,6,8759
597,12,3,squeakCTRL,7,8972
598,12,3,squeakCTRL,8,9187
599,12,3,squeakCTRL,9,9400
600,12,3,laserHI,0,3111
601,12,3,laserHI,1,3608
602,12,3,laserHI,2,3990
603,12,3,laserHI,3,4132
604,12,3,laserHI,4,4550
605,12,3,laserHI,5,5153
606,12,3,laserHI,6,5543
607,12,3,laserHI,7,6102
608,12,3,laserHI,8,6624
609,12,3,laserHI,9,6900
610,12,3,laserLO,0,3249
611,12,3,laserLO,1,3382
612,12,3,laserLO,2,3755
613,12,3,laserLO,3,4386
614,12,3,laserLO,4,4801
615,12,3,laserLO,5,5031
616,12,3,laserLO,6,5317
617,12,3,laserLO,7,5913
618,12,3,laserLO,8,6398
619,12,3,laserLO,9,7171
620,12,3,laserCTRL,0,2992
621,12,3,laserCTRL,1,3491
622,12,3,laserCTRL,2,3864
623,12,3,laserCTRL,3,4255
624,12,3,laserCTRL,4,4671
625,12,3,laserCTRL,5,4912
626,12,3,laserCTRL,6,5428
627,12,3,laserCTRL,7,5662
628,12,3,laserCTRL,8,6223
629,12,3,laserCTRL,9,7279
